_key,_iOSkey,_AndroidKey,_页面,_说明,_服务端打点,_spma,_spmb,_spmc,_spmd,_args,title,url,item_id,ju_id,order_id,spm-url,spm-cnt
JuSplash,JUSplashViewController,SplashActivity,聚划算-闪屏,,,a240c,7662933,0,0,,,,,,,,
JuMain,MFSideMenuContainerViewController,[TabMainActivity|HomeTabActivity|HomeTabActivity.BoxPageFragment],聚划算-首页,为了让数据统一，JuMain也统一成JuJRT的SPM,,a240c,7662935,0,0,,,,,,,,
JuJRT,JHSHomeViewController,,聚划算-今日团,,,a240c,7662935,0,0,,,,,,,,
JuScan,JUQRWrapperViewController,HuoYanScanActivity,聚划算-扫码,,,a240c,7662936,0,0,,,,,,,,
JuSHT,JHSLocalWebViewController,,聚划算-生活团,,,a240c,7662937,0,0,,,,,,,,
JuSHTCityChoose,JUCityPickerViewController,SelectCityActivity,聚划算-生活团城市选择,,,a240c,7662938,0,0,,,,,,,,
JuSHTCategoryChoose,JHSLocalListViewController,LifeActivity,聚划算-生活团类目选择,,,a240c,7662939,0,0,,,,,,,,
JuPPT,JHSLuaViewController,,聚划算-品牌团,业务已下线,,a240c,7662940,0,0,,,,,,,,
JuGWC,JHSCartViewController,FragmentContainerActivity-cart,聚划算-购物车,,,a240c,7662942,0,0,,,,,,,,
JuSearch,JUSearchDisplayController,SearchActivity,聚划算-搜索,,,a240c,7662944,0,0,,,,,,,,
JuJT,JUTouViewController,[JuTouActivity|JutouActivity],聚划算-聚透,,,a240c,7662945,0,0,,,,,,,,
JuWD,JUMyProfileViewController,,聚划算-我的,,,a240c,7662946,0,0,,,,,,,,
JuWDOrder,JHSOrderListViewController,MyOrdersActivity,聚划算-我的订单,,,a240c,7662947,0,0,,,,,,,,
JuWDOrderDetail,JHSOrderDetailViewController,OrderDetailActivity,聚划算-我的订单详情,,,a240c,7662948,0,0,,,,{.*},{.*},{.*},,
JuWDBrowseHistory,JULocalItemListViewController,HistoryItemsActivity,聚划算-浏览历史,,,a240c,7662949,0,0,,,,,,,,
JuCollection,JHSCollectionViewController,JuShouCangActivity,聚划算-聚收藏,,,a240c,7662950,0,0,,,,,,,,
JuWDMsgCategory,JHSMessageBoxViewController,MsgCategoryActivity,聚划算-消息分类,,,a240c,7728260,0,0,,,,,,,,
JuWDMsgCenter,JHSMessageDetailListViewController,MsgCenterActivity,聚划算-消息中心,,,a240c,7662952,0,0,,,,,,,,
JuWDAddressModify,TBNewAddressViewController,ModifyAddressActivity,聚划算-修改地址,,,a240c,7662953,0,0,,,,,,,,
JuWDAddressList,TBAddressManagerViewController,AddressListActivity,聚划算-地址列表,,,a240c,7662954,0,0,,,,,,,,
JuWDSetting,JUSettingViewController,SettingActivity,聚划算-设置,,,a240c,7662956,0,0,,,,,,,,
JuDetail,TBItemDetailViewController,[ItemDetailActivity|DetailRecentsActivity],聚划算-商品详情,,有：bucket,a240c,7662959,0,0,,,,{.*},{.*},,,
JuLogin,,[UserLoginActivity_|LoginActivity],聚划算-登陆,已接入集团统一登录,,a240c,7662960,0,0,,,,,,,,
JuDetailComment,TBTradeRateDetailViewController,ItemCommentsActivity,聚划算-评价详情,,,a240c,7662961,0,0,,,,,,,,
JuDetailImgLarge,,ItemSingleDisplayActivity,聚划算-图片列表,,,a240c,7662962,0,0,,,,,,,,
JuDetailImgList,,ItemListDisplayActivity,聚划算-小图片列表,,,a240c,7723891,0,0,,,,,,,,
JuDetailShopList,TBItemDetailShopListViewController,ShopListActivity,聚划算-商家列表,,,a240c,7662963,0,0,,,,,,,,
JuDetailShopRecommend,JUItemListBySellerViewController,ItemListActivity,聚划算-店铺推荐,,,a240c,7662964,0,0,,,,,,,,
JuDetailShopMap,TBItemDetailShopMapViewController,MapActivity,聚划算-商家地图,,,a240c,7662967,0,0,,,,,,,,
JuPay,,MiniLauncherActivity,聚划算-付款,浮层,,a240c,7662965,0,0,,,,,,,,
JuWeiboShare,JUWeiboShareViewController,WeiboSdkBrowser,聚划算-微博分享,,,a240c,7662966,0,0,,,,,,,,
JuOrderConfirm,JHSBuyViewController,JuPurchaseActivity,聚划算-订单确认,"Android从购物车进入路径获取不到item_id, ju_id",,a240c,7662968,0,0,,,,{.*},,{.*},,
JuH5,JUWebViewController,[JuWindVaneActivity|JuWebViewActivity],聚划算-h5,,有：bucket,a240c,7662969,0,0,,{.*},{.*},,,,,
JuScanHistory,JUHuoyanHistoryViewController,,聚划算-扫码历史,,,a240c,7664853,0,0,,,,,,,,
JuSettingAbout,JUAboutViewController,AboutActivity,聚划算-关于,,,a240c,7662955,0,0,,,,,,,,
JuSettingGuide,,GuideActivity,聚划算-新手引导,浮层,,a240c,7662958,0,0,,,,,,,,
JuSettingHelpCenter,JUHelpCenterViewController,,聚划算-帮助中心,,,a240c,7664855,0,0,,,,,,,,